text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
How do we evaluate data wrangler interpretations as good or bad?  Just compare multiple interpretations of the same data sets? #DSE16,FALSE,0,NA,2/18/2016 8:11,FALSE,NA,7.00231E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",dat_sci_student,0,FALSE,FALSE,NA,NA,
@bhavana_budithi this! but validating previous findings doesn't get funding in our world so people may not want to work in the loop :(#dse16,FALSE,1,bhavana_budithi,2/18/2016 3:19,FALSE,6.99677E+17,7.00158E+17,4867356501,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CmHovey,0,FALSE,FALSE,NA,NA,
"@coollikeabreeze I don't think that's necessary, but they should be able to share what matters to them for wranglers at the least #dse16",FALSE,0,coollikeabreeze,2/18/2016 3:16,FALSE,7.00148E+17,7.00157E+17,4860690658,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CmHovey,0,FALSE,FALSE,NA,NA,
\if it is nobody's job to make sense of the data," the risk is that the data does not make sense but nobody realises\"" #JobWorthHaving #dse16""",FALSE,1,NA,2/18/2016 2:57,FALSE,NA,7.00152E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",lillianmoran,0,FALSE,FALSE,NA,NA
"are Clow's \data wranglers\"" part of inevitable transition? might future academics/teachers be expected to be data analytics experts? #DSE16""",FALSE,0,NA,2/18/2016 2:39,FALSE,NA,7.00148E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",coollikeabreeze,0,FALSE,FALSE,NA,NA,
RT @spinetixusa: LAS VEGAS #DSE16 - SpinetiX Certified Expert â€“ #DigitalSignage Academy - 03/15 Learn more &gt; https://t.co/8r3584E7Tk https:â€¦,FALSE,0,NA,2/17/2016 23:05,FALSE,NA,7.00094E+17,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",SmithbBryan,1,TRUE,FALSE,NA,NA,
Oops! Read this article last week. #dse16,FALSE,0,NA,2/17/2016 17:18,FALSE,NA,7.00006E+17,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",EllenModlin,0,FALSE,FALSE,NA,NA,
Heading to #DSE16? Get a sneak preview of the session presented by @StayingInDroves and @LdtmxmDavis #longliveretail https://t.co/NoK6u9dkZ1,FALSE,0,NA,2/17/2016 15:13,FALSE,NA,6.99975E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",maxmedia_atl,0,FALSE,FALSE,NA,NA,
@bhavana_budithi I never knew this term! Shouldn't all knowledge finding methods be double loop? #IDKWGO #DSE16,FALSE,0,bhavana_budithi,2/17/2016 1:23,FALSE,6.99677E+17,6.99766E+17,4867356501,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Glorf_Glorf,0,FALSE,FALSE,NA,NA,
5 keys for surviving Digital Signage Expo #DSE16 https://t.co/jP4Ur88o8s https://t.co/DVmuwO8Q8l,FALSE,0,NA,2/17/2016 1:20,FALSE,NA,6.99765E+17,NA,"<a href=\http://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite</a>""",KioskMktplc,1,FALSE,FALSE,NA,NA,
"Videotel Digital Reveals \Elevate\"" Solution at Digital Signage Expo 2015 https://t.co/qfUggcQ1qd via @YouTube @DSExpo #digitalsignage #DSE16""",FALSE,0,NA,2/16/2016 22:19,FALSE,NA,6.9972E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Videoteldigital,0,FALSE,FALSE,NA,NA,
"Videotel Digital Reveals \Elevate\"" Solution at Digital Signage Expo 2015 https://t.co/G8fj8x6iZK via @YouTube @DSExpo #digitalsignage #DSE16""",FALSE,1,NA,2/16/2016 22:18,FALSE,NA,6.99719E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",LisaVideotel,0,FALSE,FALSE,NA,NA,
I'm wondering if learning analytics is instinctively a double loop LS!? #DSE16,FALSE,2,NA,2/16/2016 19:31,FALSE,NA,6.99677E+17,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",bhavana_budithi,0,FALSE,FALSE,NA,NA,
