"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"https://t.co/3klBNstoes good point a/b personality &amp; learning. How a/b emotions? How do 2 account 4 that in predictive analytics? #DSE16",FALSE,0,NA,2016-02-05 05:51:57,FALSE,NA,"695333994003566592",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","claireninja",0,FALSE,FALSE,NA,NA
"Mb data collection in education needs its own specific PR campaign to better educate parents/students/etc &amp; improve comfort level.  #DSE16",FALSE,0,NA,2016-02-05 05:31:24,FALSE,NA,"695328820979695616",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","claireninja",0,FALSE,FALSE,NA,NA
"Wonder if students/parents are opting out of data collection bc others use analytics for targeted marketing that can feel invasive #DSE16",FALSE,0,NA,2016-02-05 05:29:15,FALSE,NA,"695328280027729920",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","claireninja",0,FALSE,FALSE,NA,NA
"#DSE16 the problem is not about collecting data, is what data are you collecting, thats why ppl opt-out of tests that dont reflect reality",FALSE,0,NA,2016-02-04 11:08:24,FALSE,NA,"695051245434880000",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","AndreinaYulis",0,FALSE,FALSE,NA,NA
"\A Scarce Breed\ - Baker et al. Check it out! https://t.co/IWVNZJRcNs #DSE16",FALSE,0,NA,2016-02-04 04:48:56,FALSE,NA,"694955747797528576",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","bhavana_budithi",0,FALSE,FALSE,NA,NA
"Adaptive and personalized learning can break stereotyped educational and career boundaries #EdInIndia #DSE16 https://t.co/K8I7qhBOkP",FALSE,1,NA,2016-02-04 04:43:48,FALSE,NA,"694954453645029376",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","bhavana_budithi",0,FALSE,FALSE,NA,NA
"Hi guys, just set up my twitter...: Do we still need to install the Firefox version of Zotero if our default browser is chrome? #DSE16 #DSE",FALSE,0,NA,2016-02-04 01:57:27,FALSE,NA,"694912593979375616",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","Fengmei_L",0,FALSE,FALSE,NA,NA
"Stealth assessment w/ defined consent should be too hard, right? https://t.co/jEVP1DoZ1M #DSE16 https://t.co/XLj2fnhj4k",FALSE,0,NA,2016-02-04 00:48:06,FALSE,NA,"694895138355724288",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","MarsagliaMatt",0,FALSE,FALSE,NA,NA
"Pop studies reveal 0 about individuals: https://t.co/5VWQwe8xgK So hone EDM methods at student level 1st &amp;? Sounds nice but slow #DSE16",FALSE,1,NA,2016-02-04 00:05:40,FALSE,NA,"694884459557056512",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","MarsagliaMatt",0,FALSE,FALSE,NA,NA
"@coollikeabreeze Yes, when the data gets away from teachers, students, and school officials the use of that data is questionable.#DSE16",FALSE,0,"coollikeabreeze",2016-02-03 11:02:53,FALSE,"694607751771598848","694687468872953856","4860690658","<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","sbr341",0,FALSE,FALSE,NA,NA
"\Digital Signage Industry Trends in 2016\—via @scnmag https://t.co/WRpupkJ2V1 #AV #tech #DSE16",FALSE,1,NA,2016-02-03 06:55:19,FALSE,NA,"694625166614200320",NA,"<a href=\http://www.hootsuite.com\ rel=\nofollow\>Hootsuite</a>","Synergy_CT",0,FALSE,FALSE,NA,NA
"5 keys for surviving #DSE16 https://t.co/Ze0HLgxayt",FALSE,0,NA,2016-02-03 06:20:33,FALSE,NA,"694616417677787136",NA,"<a href=\http://www.hootsuite.com\ rel=\nofollow\>Hootsuite</a>","DigSignageToday",0,FALSE,FALSE,NA,NA
"hmmm what could be the implications for every facet of \education\ if/when users own their data in a \functional market\? #ltoddrose #DSE16",FALSE,0,NA,2016-02-03 06:19:50,FALSE,NA,"694616234600460288",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","coollikeabreeze",0,FALSE,FALSE,NA,NA
"@sbr341 maybe these new, huge collections of data and involvement of faceless third-parties could seem ominous #dystopianfuture #DSE16",FALSE,0,"sbr341",2016-02-03 05:46:07,FALSE,"693932144528351232","694607751771598848","574034598","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","coollikeabreeze",0,FALSE,FALSE,NA,NA
"@lillianmoran checked in to see if anyone mentioned this already #accurate #punintended #DSE16",FALSE,0,"lillianmoran",2016-02-03 04:48:00,FALSE,"694344262335467520","694593124077703168","22841263","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","coollikeabreeze",0,FALSE,FALSE,NA,NA
"#DSE16 CHE - (cont) about. Instead, they used it to gut schools and fire teachers. What a freaking waste.",FALSE,0,NA,2016-02-03 04:21:17,FALSE,NA,"694586400541429760",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","EBriceJr",0,FALSE,FALSE,NA,NA
"#DSE16 (cont) how standardized testing is used that's bad. NCLB was a perfect way to get the kind of data this article is talking (cont)",FALSE,0,NA,2016-02-03 04:20:19,FALSE,NA,"694586159633145856",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","EBriceJr",0,FALSE,FALSE,NA,NA
"#DSE16 CHE - (cont) discussions about standardized testing in school. It's not that standardized testing is bad. Far from it. It's (cont)",FALSE,0,NA,2016-02-03 04:19:11,FALSE,NA,"694585874806394880",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","EBriceJr",0,FALSE,FALSE,NA,NA
"#DSE16 CHE - One of my friends is a preschool teacher, and I took a psychometrics class in undergrad. This has lead to a lot of (cont)",FALSE,0,NA,2016-02-03 04:18:11,FALSE,NA,"694585621243940864",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","EBriceJr",0,FALSE,FALSE,NA,NA
"#DSE16 Edsurge-The authors hit the nail on the head. Data is going to be a slave to bad policy until policymakers make better policy.",FALSE,0,NA,2016-02-03 04:17:41,FALSE,NA,"694585494697590784",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","EBriceJr",0,FALSE,FALSE,NA,NA
"RT @lillianmoran: What exactly is data that \accurately represents\? Shouldn't we ask if we're collecting the right data and/or analyzing i…",FALSE,0,NA,2016-02-02 12:30:16,FALSE,NA,"694347068329070592",NA,"<a href=\http://tweetfull.com\ rel=\nofollow\>Tweet Full</a>","Doorda",1,TRUE,FALSE,NA,NA
"What exactly is data that \accurately represents\? Shouldn't we ask if we're collecting the right data and/or analyzing it correctly? #DSE16",FALSE,4,NA,2016-02-02 12:19:07,FALSE,NA,"694344262335467520",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","lillianmoran",1,FALSE,FALSE,NA,NA
"5 keys for surviving #DSE16 https://t.co/f5WooYUfPu https://t.co/vqztV0zQAs",FALSE,1,NA,2016-02-02 08:30:58,FALSE,NA,"694286849892814848",NA,"<a href=\http://www.hootsuite.com\ rel=\nofollow\>Hootsuite</a>","DigSignageToday",0,FALSE,FALSE,NA,NA
